enuc
8.002367
 
Hcore
-32.577395  -7.578833   0.000000  -0.014474   0.000000  -1.240102  -1.240102
 -7.578833  -9.200943   0.000000  -0.176890   0.000000  -2.906710  -2.906710
  0.000000   0.000000  -7.458819   0.000000   0.000000  -1.675150   1.675150
 -0.014474  -0.176890   0.000000  -7.415312   0.000000  -1.356868  -1.356868
  0.000000   0.000000   0.000000   0.000000  -7.347145   0.000000   0.000000
 -1.240102  -2.906710  -1.675150  -1.356868   0.000000  -4.540171  -1.071146
 -1.240102  -2.906710   1.675150  -1.356868   0.000000  -1.071146  -4.540171
 
S-1/2
 1.023635 -0.136855  0.000000 -0.007487 -0.000000  0.019028  0.019028
-0.136855  1.157863 -0.000000  0.072160  0.000000 -0.222333 -0.222333
 0.000000 -0.000000  1.073315 -0.000000  0.000000 -0.175758  0.175758
-0.007487  0.072160 -0.000000  1.038305  0.000000 -0.118463 -0.118463
-0.000000  0.000000  0.000000  0.000000  1.000000  0.000000 -0.000000
 0.019028 -0.222333 -0.175758 -0.118463  0.000000  1.129723 -0.062598
 0.019028 -0.222333  0.175758 -0.118463 -0.000000 -0.062598  1.129723
 
Iter 	E(elec)           	E(tot)            	Delta(E)          	RMS(D)            	
21   -82.944447000175  	-74.942079938365  	0.000000010911    	0.000000089648    	
22   -82.944446994911  	-74.942079933100  	0.000000005265    	0.000000043256    	
23   -82.944446992371  	-74.942079930560  	0.000000002540    	0.000000020871    	
24   -82.944446991145  	-74.942079929335  	0.000000001226    	0.000000010070    	
25   -82.944446990554  	-74.942079928743  	0.000000000591    	0.000000004859    	
26   -82.944446990268  	-74.942079928458  	0.000000000285    	0.000000002345    	
27   -82.944446990131  	-74.942079928320  	0.000000000138    	0.000000001131    	
28   -82.944446990064  	-74.942079928254  	0.000000000066    	0.000000000546    	
29   -82.944446990032  	-74.942079928222  	0.000000000032    	0.000000000263    	
30   -82.944446990017  	-74.942079928206  	0.000000000015    	0.000000000127    	
31   -82.944446990009  	-74.942079928199  	0.000000000007    	0.000000000061    	
32   -82.944446990006  	-74.942079928195  	0.000000000004    	0.000000000030    	
33   -82.944446990004  	-74.942079928193  	0.000000000002    	0.000000000014    	
34   -82.944446990003  	-74.942079928193  	0.000000000001    	0.000000000007    	
Converged!

 
mo fock
-20.262892 0.000000   0.000000   0.000000   0.000000   -0.000000  -0.000000 
0.000000   -1.209697  0.000000   0.000000   -0.000000  -0.000000  -0.000000 
-0.000000  0.000000   -0.547965  0.000000   0.000000   -0.000000  0.000000  
0.000000   0.000000   0.000000   -0.436527  0.000000   -0.000000  0.000000  
0.000000   -0.000000  0.000000   0.000000   -0.387587  0.000000   0.000000  
-0.000000  -0.000000  -0.000000  -0.000000  0.000000   0.477619   0.000000  
0.000000   -0.000000  0.000000   -0.000000  0.000000   0.000000   0.588139  
 
Dipole moments: 
x: 0
-0.000000
y: 1
-0.523770
z: 2
-0.000000
~~~MP2~~~
Escf = -74.942079928193
Emp2 = -0.049149636120
Etot = -74.991229564313
~~~CCSD MP2 energy~~~
Emp2ccsd = -0.049149636120
0ttau: 0,0,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,10,11: -0.000631533771  tau:  -0.000631533771
0ttau: 0,1,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,10,11: 0.000438113356  tau:  0.000438113356
0ttau: 0,3,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,10,12: 0.000402645130  tau:  0.000402645130
0ttau: 0,4,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,10,13: 0.000263749676  tau:  0.000263749676
0ttau: 0,6,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,10,11: 0.000081781071  tau:  0.000081781071
0ttau: 0,7,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,11,10: 0.000631533771  tau:  0.000631533771
0ttau: 0,1,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,11,12: -0.000000000000  tau:  -0.000000000000
0ttau: 0,1,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,11,10: -0.000438113356  tau:  -0.000438113356
0ttau: 0,3,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,11,12: -0.000000000000  tau:  -0.000000000000
0ttau: 0,3,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,11,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,5,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,11,12: 0.000138895454  tau:  0.000138895454
0ttau: 0,5,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,11,10: -0.000081781071  tau:  -0.000081781071
0ttau: 0,7,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,11,12: -0.000000000000  tau:  -0.000000000000
0ttau: 0,7,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,11,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,9,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,12,13: -0.000468125486  tau:  -0.000468125486
0ttau: 0,2,12,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,2,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,12,13: 0.000843456201  tau:  0.000843456201
0ttau: 0,4,12,10: -0.000402645130  tau:  -0.000402645130
0ttau: 0,4,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,12,11: -0.000138895454  tau:  -0.000138895454
0ttau: 0,5,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,12,13: -0.000000000000  tau:  -0.000000000000
0ttau: 0,6,12,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,6,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,12,13: 0.000514164284  tau:  0.000514164284
0ttau: 0,8,12,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,8,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,12,11: -0.000000000000  tau:  -0.000000000000
0ttau: 0,9,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,0,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,13,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,1,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,1,13,12: 0.000468125486  tau:  0.000468125486
0ttau: 0,1,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,2,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,13,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,3,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,3,13,12: -0.000843456201  tau:  -0.000843456201
0ttau: 0,3,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,4,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,13,10: -0.000263749676  tau:  -0.000263749676
0ttau: 0,5,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,5,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,6,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,13,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,7,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,7,13,12: -0.000514164284  tau:  -0.000514164284
0ttau: 0,7,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 0,8,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,13,10: -0.000000000000  tau:  -0.000000000000
0ttau: 0,9,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 0,9,13,12: -0.000000000000  tau:  -0.000000000000
0ttau: 0,9,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,10,11: 0.000631533771  tau:  0.000631533771
0ttau: 1,0,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,10,13: -0.000000000000  tau:  -0.000000000000
0ttau: 1,1,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,10,11: -0.000438113356  tau:  -0.000438113356
0ttau: 1,2,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,10,13: -0.000000000000  tau:  -0.000000000000
0ttau: 1,3,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,10,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,4,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,10,13: 0.000138895454  tau:  0.000138895454
0ttau: 1,5,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,10,11: -0.000081781071  tau:  -0.000081781071
0ttau: 1,6,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,10,13: -0.000000000000  tau:  -0.000000000000
0ttau: 1,7,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,10,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,8,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,11,10: -0.000631533771  tau:  -0.000631533771
0ttau: 1,0,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,11,10: 0.000438113356  tau:  0.000438113356
0ttau: 1,2,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,11,12: 0.000263749676  tau:  0.000263749676
0ttau: 1,4,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,11,13: 0.000402645130  tau:  0.000402645130
0ttau: 1,6,11,10: 0.000081781071  tau:  0.000081781071
0ttau: 1,6,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,11,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,11,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,11,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,11,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,12,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,0,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,12,13: 0.000468125486  tau:  0.000468125486
0ttau: 1,1,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,12,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,2,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,12,13: -0.000843456201  tau:  -0.000843456201
0ttau: 1,3,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,12,11: -0.000263749676  tau:  -0.000263749676
0ttau: 1,4,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,12,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,6,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,12,13: -0.000514164284  tau:  -0.000514164284
0ttau: 1,7,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,12,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,8,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,12,13: -0.000000000000  tau:  -0.000000000000
0ttau: 1,9,12,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,12,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,12,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,12,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,0,13,12: -0.000468125486  tau:  -0.000468125486
0ttau: 1,0,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,1,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,2,13,12: 0.000843456201  tau:  0.000843456201
0ttau: 1,2,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,13,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,3,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,3,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,13,10: -0.000138895454  tau:  -0.000138895454
0ttau: 1,4,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,4,13,12: -0.000000000000  tau:  -0.000000000000
0ttau: 1,4,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,13,11: -0.000402645130  tau:  -0.000402645130
0ttau: 1,5,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,5,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,6,13,12: 0.000514164284  tau:  0.000514164284
0ttau: 1,6,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,13,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,7,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,7,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,13,10: -0.000000000000  tau:  -0.000000000000
0ttau: 1,8,13,11: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,8,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,13,10: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,13,11: -0.000000000000  tau:  -0.000000000000
0ttau: 1,9,13,12: 0.000000000000  tau:  0.000000000000
0ttau: 1,9,13,13: 0.000000000000  tau:  0.000000000000
0ttau: 2,0,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 2,0,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 2,0,10,12: -0.000000000000  tau:  -0.000000000000
0ttau: 2,0,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 2,1,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 2,1,10,11: 0.000438113356  tau:  0.000438113356
0ttau: 2,1,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 2,1,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 2,2,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 2,2,10,11: 0.000000000000  tau:  0.000000000000
0ttau: 2,2,10,12: 0.000000000000  tau:  0.000000000000
0ttau: 2,2,10,13: 0.000000000000  tau:  0.000000000000
0ttau: 2,3,10,10: 0.000000000000  tau:  0.000000000000
0ttau: 2,3,10,11: -0.028196474866  tau:  -0.028196474866
